config,M_bayes,sentiment_w,kw_bonus_per_hit,kw_bonus_cap,n_items
M25_S0.2_B0.01_Cap0.1_H5,25,0.2,0.01,0.1,509
M25_S0.2_B0.01_Cap0.15_H5,25,0.2,0.01,0.15,509
M25_S0.2_B0.01_Cap0.2_H5,25,0.2,0.01,0.2,509
M25_S0.2_B0.01_Cap0.25_H5,25,0.2,0.01,0.25,509
M25_S0.2_B0.01_Cap0.3_H5,25,0.2,0.01,0.3,509
M25_S0.2_B0.03_Cap0.1_H5,25,0.2,0.03,0.1,509
M25_S0.2_B0.03_Cap0.15_H5,25,0.2,0.03,0.15,509
M25_S0.2_B0.03_Cap0.2_H5,25,0.2,0.03,0.2,509
M25_S0.2_B0.03_Cap0.25_H5,25,0.2,0.03,0.25,509
M25_S0.2_B0.03_Cap0.3_H5,25,0.2,0.03,0.3,509
M25_S0.2_B0.05_Cap0.1_H5,25,0.2,0.05,0.1,509
M25_S0.2_B0.05_Cap0.15_H5,25,0.2,0.05,0.15,509
M25_S0.2_B0.05_Cap0.2_H5,25,0.2,0.05,0.2,509
M25_S0.2_B0.05_Cap0.25_H5,25,0.2,0.05,0.25,509
M25_S0.2_B0.05_Cap0.3_H5,25,0.2,0.05,0.3,509
